56|100|12-26-2028|Holiday|Christmas Day
161|101|12-26-2028|Holiday|Boxing Day
235|102|12-26-2028|Holiday|Boxing Day
311|103|12-26-2028|Holiday|Boxing Day
59|100|12-27-2028|Holiday|Christmas Eve
315|103|1-1-2029|Holiday|New Year's Day
69|100|3-5-2029|Holiday|Liberation Day
162|101|3-30-2029|Holiday|Good Friday
237|102|3-30-2029|Holiday|Good Friday
312|103|3-30-2029|Holiday|Good Friday
238|102|4-2-2029|Holiday|Easter Monday
61|100|4-6-2029|Holiday|Good Friday
62|100|4-9-2029|Holiday|Easter
63|100|5-1-2029|Holiday|Labor Day
239|102|5-1-2029|Holiday|Labour Day
70|100|5-7-2029|Holiday|St. George's Day
163|101|5-7-2029|Holiday|May Day
313|103|5-7-2029|Holiday|May Day
240|102|5-10-2029|Holiday|Ascension Day
241|102|5-21-2029|Holiday|Whit Monday
64|100|5-24-2029|Holiday|Saints Cyril and Methodius Day
164|101|5-28-2029|Holiday|Spring Bank Holiday
314|103|5-28-2029|Holiday|Spring Bank Holiday
65|100|9-6-2029|Holiday|Unification Day
71|100|9-24-2029|Holiday|Independence Day
242|102|10-3-2029|Holiday|German Unity Day
66|100|12-24-2029|Holiday|Christmas Eve
316|103|12-25-2029|Holiday|Christmas Day
68|100|12-26-2029|Holiday|Christmas Day
167|101|12-26-2029|Holiday|Boxing Day
244|102|12-26-2029|Holiday|Boxing Day
317|103|12-26-2029|Holiday|Boxing Day
321|103|1-1-2030|Holiday|New Year's Day
82|100|3-4-2030|Holiday|Liberation Day
168|101|4-19-2030|Holiday|Good Friday
246|102|4-19-2030|Holiday|Good Friday
318|103|4-19-2030|Holiday|Good Friday
247|102|4-22-2030|Holiday|Easter Monday
73|100|4-26-2030|Holiday|Good Friday
74|100|4-29-2030|Holiday|Easter
75|100|5-1-2030|Holiday|Labor Day
248|102|5-1-2030|Holiday|Labour Day
76|100|5-6-2030|Holiday|St. George's Day
169|101|5-6-2030|Holiday|May Day
319|103|5-6-2030|Holiday|May Day
77|100|5-24-2030|Holiday|Saints Cyril and Methodius Day
170|101|5-27-2030|Holiday|Spring Bank Holiday
320|103|5-27-2030|Holiday|Spring Bank Holiday
249|102|5-30-2030|Holiday|Ascension Day
250|102|6-10-2030|Holiday|Whit Monday
78|100|9-6-2030|Holiday|Unification Day
83|100|9-23-2030|Holiday|Independence Day
251|102|10-3-2030|Holiday|German Unity Day
79|100|12-24-2030|Holiday|Christmas Eve
322|103|12-25-2030|Holiday|Christmas Day
81|100|12-26-2030|Holiday|Christmas Day
173|101|12-26-2030|Holiday|Boxing Day
253|102|12-26-2030|Holiday|Boxing Day
323|103|12-26-2030|Holiday|Boxing Day
327|103|1-1-2031|Holiday|New Year's Day
85|100|3-3-2031|Holiday|Liberation Day
324|103|4-11-2031|Holiday|Good Friday
87|100|4-14-2031|Holiday|Easter
256|102|4-14-2031|Holiday|Easter Monday
88|100|5-1-2031|Holiday|Labor Day
257|102|5-1-2031|Holiday|Labour Day
175|101|5-5-2031|Holiday|May Day
325|103|5-5-2031|Holiday|May Day
89|100|5-6-2031|Holiday|St. George's Day
258|102|5-22-2031|Holiday|Ascension Day
94|100|5-26-2031|Holiday|Saints Cyril and Methodius Day
176|101|5-26-2031|Holiday|Spring Bank Holiday
326|103|5-26-2031|Holiday|Spring Bank Holiday
259|102|6-2-2031|Holiday|Whit Monday
95|100|9-8-2031|Holiday|Unification Day
90|100|9-22-2031|Holiday|Independence Day
260|102|10-3-2031|Holiday|German Unity Day
91|100|12-24-2031|Holiday|Christmas Eve
328|103|12-25-2031|Holiday|Christmas Day
329|103|12-26-2031|Holiday|Boxing Day
333|103|1-1-2032|Holiday|New Year's Day
97|100|3-3-2032|Holiday|Liberation Day
180|101|3-26-2032|Holiday|Good Friday
264|102|3-26-2032|Holiday|Good Friday
330|103|3-26-2032|Holiday|Good Friday
265|102|3-29-2032|Holiday|Easter Monday
98|100|4-30-2032|Holiday|Good Friday
99|100|5-3-2032|Holiday|Easter
181|101|5-3-2032|Holiday|May Day
331|103|5-3-2032|Holiday|May Day
105|100|5-4-2032|Holiday|Labor Day
100|100|5-6-2032|Holiday|St. George's Day
266|102|5-6-2032|Holiday|Ascension Day
267|102|5-17-2032|Holiday|Whit Monday
101|100|5-24-2032|Holiday|Saints Cyril and Methodius Day
182|101|5-31-2032|Holiday|Spring Bank Holiday
332|103|5-31-2032|Holiday|Spring Bank Holiday
102|100|9-6-2032|Holiday|Unification Day
103|100|9-22-2032|Holiday|Independence Day
104|100|12-24-2032|Holiday|Christmas Eve
106|100|12-27-2032|Holiday|Christmas Day
184|101|12-27-2032|Holiday|Christmas Day (observed)
334|103|12-27-2032|Holiday|Christmas Day (observed)
107|100|12-28-2032|Holiday|Christmas Day
185|101|12-28-2032|Holiday|Boxing Day (observed)
335|103|12-28-2032|Holiday|Boxing Day (observed)
116|100|1-3-2033|Holiday|New Year
189|101|1-3-2033|Holiday|New Year's Day (observed)
339|103|1-3-2033|Holiday|New Year's Day (observed)
108|100|3-3-2033|Holiday|Liberation Day
336|103|4-15-2033|Holiday|Good Friday
110|100|4-18-2033|Holiday|Easter
269|102|4-18-2033|Holiday|Easter Monday
117|100|5-2-2033|Holiday|Labor Day
187|101|5-2-2033|Holiday|May Day
337|103|5-2-2033|Holiday|May Day
111|100|5-6-2033|Holiday|St. George's Day
112|100|5-24-2033|Holiday|Saints Cyril and Methodius Day
270|102|5-26-2033|Holiday|Ascension Day
188|101|5-30-2033|Holiday|Spring Bank Holiday
338|103|5-30-2033|Holiday|Spring Bank Holiday
271|102|6-6-2033|Holiday|Whit Monday
113|100|9-6-2033|Holiday|Unification Day
114|100|9-22-2033|Holiday|Independence Day
272|102|10-3-2033|Holiday|German Unity Day
341|103|12-26-2033|Holiday|Boxing Day
118|100|12-27-2033|Holiday|Christmas Eve
190|101|12-27-2033|Holiday|Christmas Day (observed)
340|103|12-27-2033|Holiday|Christmas Day (observed)
119|100|12-28-2033|Holiday|Christmas Day
129|100|1-2-2034|Holiday|New Year
195|101|1-2-2034|Holiday|New Year's Day (observed)
345|103|1-2-2034|Holiday|New Year's Day (observed)
120|100|3-3-2034|Holiday|Liberation Day
342|103|4-7-2034|Holiday|Good Friday
122|100|4-10-2034|Holiday|Easter
275|102|4-10-2034|Holiday|Easter Monday
123|100|5-1-2034|Holiday|Labor Day
193|101|5-1-2034|Holiday|May Day
276|102|5-1-2034|Holiday|Labour Day
343|103|5-1-2034|Holiday|May Day
130|100|5-8-2034|Holiday|St. George's Day
277|102|5-18-2034|Holiday|Ascension Day
124|100|5-24-2034|Holiday|Saints Cyril and Methodius Day
194|101|5-29-2034|Holiday|Spring Bank Holiday
278|102|5-29-2034|Holiday|Whit Monday
344|103|5-29-2034|Holiday|Spring Bank Holiday
125|100|9-6-2034|Holiday|Unification Day
126|100|9-22-2034|Holiday|Independence Day
279|102|10-3-2034|Holiday|German Unity Day
346|103|12-25-2034|Holiday|Christmas Day
128|100|12-26-2034|Holiday|Christmas Day
197|101|12-26-2034|Holiday|Boxing Day
281|102|12-26-2034|Holiday|Boxing Day
347|103|12-26-2034|Holiday|Boxing Day
131|100|12-27-2034|Holiday|Christmas Eve
